Accession.ID,Data.Source,Related.ID,Nuc.Completeness,Sequence.Length,Sequence.Quality,Host,Location,region_exposure,country_exposure,division_exposure
EPI_ISL_413523,GenBank,"MT050493,EPI_ISL_413523",Complete,29851,High,Homo sapiens, India / Kerala State,Asia,China,China
EPI_ISL_413522,GenBank,"MT012098,EPI_ISL_413522",Complete,29854,High,Homo sapiens, India / Kerala State,Asia,China,Wuhan
EPI_ISL_413555,GISAID,"EPI_ISL_413555,",Complete,29782,High,Homo sapiens, United Kingdom / Wales,Europe,Italy,Italy
EPI_ISL_413558,GISAID,"EPI_ISL_413558,",Complete,29903,High,Homo sapiens, United States / California / Solano County,North America,USA,California
EPI_ISL_413559,GISAID,"EPI_ISL_413559,",Complete,29903,High,Homo sapiens, United States / California / Solano County,North America,USA,California
EPI_ISL_413560,GISAID,"EPI_ISL_413560,",Complete,29903,High,Homo sapiens, United States / Washington,North America,USA,Washington
EPI_ISL_413513,GISAID,"EPI_ISL_413513,",Complete,29858,High,Homo sapiens, South Korea,Asia,South Korea,South Korea
EPI_ISL_413514,GISAID,"EPI_ISL_413514,",Complete,29858,High,Homo sapiens, South Korea,Asia,South Korea,South Korea
EPI_ISL_413515,GISAID,"EPI_ISL_413515,",Complete,29858,High,Homo sapiens, South Korea,Asia,South Korea,South Korea
EPI_ISL_413516,GISAID,"EPI_ISL_413516,",Complete,29858,High,Homo sapiens, South Korea,Asia,South Korea,South Korea
EPI_ISL_413572,GISAID,"EPI_ISL_413572,",Complete,29786,High,Homo sapiens, Netherlands / Haarlem,Europe,Netherlands,North Holland
EPI_ISL_413566,GISAID,"EPI_ISL_413566,",Complete,29786,High,Homo sapiens, Netherlands / Blaricum,Europe,Netherlands,North Brabant
EPI_ISL_413573,GISAID,"EPI_ISL_413573,",Complete,29783,High,Homo sapiens, Netherlands / Hardinxveld Giessendam,Europe,Netherlands,South Holland
EPI_ISL_413577,GISAID,"EPI_ISL_413577,",Complete,29783,High,Homo sapiens, Netherlands / Naarden,Europe,Netherlands,North Holland
EPI_ISL_413590,GISAID,"EPI_ISL_413590,",Complete,29783,High,Homo sapiens, Netherlands / Utrecht,Europe,Netherlands,Utrecht
EPI_ISL_413591,GISAID,"EPI_ISL_413591,",Complete,29786,High,Homo sapiens, Netherlands / Zeewolde,Europe,Netherlands,Flevoland
EPI_ISL_413589,GISAID,"EPI_ISL_413589,",Complete,29786,High,Homo sapiens, Netherlands / Utrecht,Europe,Netherlands,Utrecht
EPI_ISL_413579,GISAID,"EPI_ISL_413579,",Complete,29786,High,Homo sapiens, Netherlands / Nootdorp,Europe,Netherlands,South Holland
EPI_ISL_413580,GISAID,"EPI_ISL_413580,",Complete,29783,High,Homo sapiens, Netherlands / Oisterwijk,Europe,Netherlands,North Brabant
EPI_ISL_413587,GISAID,"EPI_ISL_413587,",Complete,29786,High,Homo sapiens, Netherlands / Tilburg,Europe,Netherlands,North Brabant
EPI_ISL_413582,GISAID,"EPI_ISL_413582,",Complete,29783,High,Homo sapiens, Netherlands / Rotterdam,Europe,Netherlands,South Holland
EPI_ISL_413583,GISAID,"EPI_ISL_413583,",Complete,29783,High,Homo sapiens, Netherlands / Rotterdam,Europe,Netherlands,South Holland
EPI_ISL_413584,GISAID,"EPI_ISL_413584,",Complete,29786,High,Homo sapiens, Netherlands / Rotterdam,Europe,Netherlands,South Holland
EPI_ISL_413563,GISAID,"EPI_ISL_413563,",Complete,29897,High,Homo sapiens, United States / Washington,North America,USA,Washington
EPI_ISL_413557,GISAID,"EPI_ISL_413557,",Complete,29903,High,Homo sapiens, United States / California / Sonoma County,North America,USA,Grand Princess
EPI_ISL_413592,GISAID,"EPI_ISL_413592,",Complete,29870,High,Homo sapiens, China / Taiwan / Taipei,Europe,Italy,Italy
EPI_ISL_413593,GISAID,"EPI_ISL_413593,",Complete,29786,High,Homo sapiens, Luxemburg,Europe,Italy,Italy
EPI_ISL_413594,GISAID,"EPI_ISL_413594,",Complete,29409,High,Homo sapiens, Australia / NSW / Sydney,Oceania,Australia,New South Wales
EPI_ISL_413596,GISAID,"EPI_ISL_413596,",Complete,29409,High,Homo sapiens, Australia / NSW / Sydney,Oceania,Australia,New South Wales
EPI_ISL_413597,GISAID,"EPI_ISL_413597,",Complete,29409,High,Homo sapiens, Australia / NSW / Sydney,Asia,Iran,Iran
EPI_ISL_413598,GISAID,"EPI_ISL_413598,",Complete,29409,High,Homo sapiens, Australia / NSW / Sydney,Asia,Iran,Iran
EPI_ISL_413599,GISAID,"EPI_ISL_413599,",Complete,29409,High,Homo sapiens, Australia / NSW / Sydney,Asia,Iran,Iran
EPI_ISL_413595,GISAID,"EPI_ISL_413595,",Complete,29409,High,Homo sapiens,Australia / NSW / Sydney,Oceania,Australia,New South Wales
EPI_ISL_413600,GISAID,"EPI_ISL_413600,",Complete,29409,High,Homo sapiens,Australia / NSW / Sydney,Oceania,Australia,New South Wales
EPI_ISL_413604,GISAID,"EPI_ISL_413604,",Complete,29807,High,Homo sapiens,Finland / Helsinki,Europe,Italy,Italy
EPI_ISL_413603,GISAID,"EPI_ISL_413603,",Complete,29835,High,Homo sapiens,Finland / Helsinki,Europe,Finland,Helsinki
EPI_ISL_413602,GISAID,"EPI_ISL_413602,",Complete,29808,High,Homo sapiens,Finland / Helsinki,Europe,Italy,Italy
EPI_ISL_413606,GenBank,"MT159717,EPI_ISL_413606",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413607,GenBank,"MT159718,EPI_ISL_413607",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413608,GenBank,"MT159719,EPI_ISL_413608",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413609,GenBank,"MT159720,EPI_ISL_413609",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413610,GenBank,"MT159721,EPI_ISL_413610",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413611,GenBank,"MT159722,EPI_ISL_413611",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413612,GenBank,"MT159705,EPI_ISL_413612",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413613,GenBank,"MT159706,EPI_ISL_413613",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413614,GenBank,"MT159710,EPI_ISL_413614",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413615,GenBank,"MT159707,EPI_ISL_413615",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413616,GenBank,"MT159708,EPI_ISL_413616",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413617,GenBank,"MT159709,EPI_ISL_413617",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413618,GenBank,"MT159711,EPI_ISL_413618",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413619,GenBank,"MT159712,EPI_ISL_413619",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413620,GenBank,"MT159713,EPI_ISL_413620",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413621,GenBank,"MT159714,EPI_ISL_413621",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413622,GenBank,"MT159715,EPI_ISL_413622",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413623,GenBank,"MT159716,EPI_ISL_413623",Complete,29867,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_413648,GISAID,"EPI_ISL_413648,",Complete,29903,High,Homo sapiens,Portugal,Europe,Portugal,Portugal
EPI_ISL_413647,GISAID,"EPI_ISL_413647,",Complete,29903,High,Homo sapiens,Portugal,Europe,Italy,Italy
EPI_ISL_413692,GISAID,"EPI_ISL_413692,",Complete,29860,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413691,GISAID,"EPI_ISL_413691,",Complete,29856,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413693,GISAID,"EPI_ISL_413693,",Complete,29850,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413694,GISAID,"EPI_ISL_413694,",Complete,29867,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413746,GISAID,"EPI_ISL_413746,",Complete,29852,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413748,GISAID,"EPI_ISL_413748,",Complete,29851,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413750,GISAID,"EPI_ISL_413750,",Complete,29882,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413729,GISAID,"EPI_ISL_413729,",Complete,29879,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413749,GISAID,"EPI_ISL_413749,",Complete,29862,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413711,GISAID,"EPI_ISL_413711,",Complete,29861,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413791,GISAID,"EPI_ISL_413791,",Complete,29859,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413761,GISAID,"EPI_ISL_413761,",Complete,29852,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413809,GISAID,"EPI_ISL_413809,",Complete,29856,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413752,GISAID,"EPI_ISL_413752,",Complete,29358,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413697,GISAID,"EPI_ISL_413697,",Complete,29852,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413751,GISAID,"EPI_ISL_413751,",Complete,29850,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413753,GISAID,"EPI_ISL_413753,",Complete,29873,High,Homo sapiens,China / Shandong / Weifang,Asia,China,Shandong
EPI_ISL_413650,GISAID,"EPI_ISL_413650,",Complete,29903,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_413651,GISAID,"EPI_ISL_413651,",Complete,29903,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_413653,GISAID,"EPI_ISL_413653,",Complete,29903,High,Homo sapiens,United States / Washington,North America,USA,Washington
MT123292,GenBank,"MT123292, ",Complete,29981,High,Homo sapiens,China / Guangdong / Guangzhou,Asia,China, Guangzhou
MT123293,GenBank,"MT123293, ",Complete,29929,High,Homo sapiens,China / Guangdong / Guangzhou,Asia,China, Guangzhou
EPI_ISL_414510,GenBank,"MT121215,EPI_ISL_414510",Complete,29945,High,Homo sapiens,China / Shanghai,Asia,China,Shanghai
MT066156,GenBank,"MT066156, ",Complete,29867,High,Homo sapiens,Italy,Europe,Italy,
EPI_ISL_413931,GISAID,"EPI_ISL_413931, ",Complete,29903,High,Homo sapiens,United States / California / San Francisco,North America,USA,California
EPI_ISL_413928,GISAID,"EPI_ISL_413928, ",Complete,29903,High,Homo sapiens,United States / California / San Francisco,North America,USA,Grand Princess
EPI_ISL_413925,GISAID,"EPI_ISL_413925, ",Complete,29903,High,Homo sapiens,United States / California / San Francisco,North America,USA,Grand Princess
EPI_ISL_413997,GISAID,"EPI_ISL_413997, ",Complete,29890,High,Homo sapiens,Switzerland / Geneva,Europe,Italy,Lombardy
EPI_ISL_413999,GISAID,"EPI_ISL_413999, ",Complete,29887,High,Homo sapiens,Switzerland / Argovie,Europe,Switzerland,Aargau
EPI_ISL_414023,GISAID,"EPI_ISL_414023, ",Complete,29891,High,Homo sapiens,Switzerland / Vaud,Europe,Switzerland,Vaud
EPI_ISL_414022,GISAID,"EPI_ISL_414022, ",Complete,29870,High,Homo sapiens,Switzerland / Geneva,Europe,Italy,Lombardy
EPI_ISL_414021,GISAID,"EPI_ISL_414021, ",Complete,29890,High,Homo sapiens,Switzerland / Basel,Europe,Switzerland,Basel
EPI_ISL_414020,GISAID,"EPI_ISL_414020, ",Complete,29865,High,Homo sapiens,Switzerland / Geneva,Europe,Switzerland,Geneva
EPI_ISL_414019,GISAID,"EPI_ISL_414019, ",Complete,29871,High,Homo sapiens,Switzerland / Geneva,Europe,Switzerland,Geneva
EPI_ISL_414005,GISAID,"EPI_ISL_414005, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414006,GISAID,"EPI_ISL_414006, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414007,GISAID,"EPI_ISL_414007, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414008,GISAID,"EPI_ISL_414008, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414009,GISAID,"EPI_ISL_414009, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414011,GISAID,"EPI_ISL_414011, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414012,GISAID,"EPI_ISL_414012, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_413996,GISAID,"EPI_ISL_413996, ",Complete,29872,High,Homo sapiens,Switzerland / Tessin,Europe,Switzerland,Ticino
EPI_ISL_414027,GISAID,"EPI_ISL_414027, ",Complete,29903,High,Homo sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_413863,GISAID,"EPI_ISL_413863, ",Complete,29903,High,Homo sapiens,China / Guangdong,Asia,China,Guangdong
EPI_ISL_413864,GISAID,"EPI_ISL_413864, ",Complete,29903,High,Homo sapiens,China / Guangdong,Asia,China,Guangdong
EPI_ISL_413861,GISAID,"EPI_ISL_413861, ",Complete,29903,High,Homo sapiens,China / Guangdong,Asia,China,Guangdong
EPI_ISL_413860,GISAID,"EPI_ISL_413860, ",Complete,29903,High,Homo sapiens,China / Guangdong,Asia,China,Guangdong
EPI_ISL_413858,GISAID,"EPI_ISL_413858, ",Complete,29903,High,Homo sapiens,China / Guangdong,Asia,China,Guangdong
EPI_ISL_413857,GISAID,"EPI_ISL_413857, ",Complete,29903,High,Homo sapiens,China / Guangdong,Asia,China,Guangdong
EPI_ISL_413854,GISAID,"EPI_ISL_413854, ",Complete,29903,High,Homo sapiens,China / Guangdong,Asia,China,Guangdong
EPI_ISL_413853,GISAID,"EPI_ISL_413853, ",Complete,29903,High,Homo sapiens,China / Guangdong,Asia,China,Guangdong
EPI_ISL_414511,GenBank,"LC529905,EPI_ISL_414511",Complete,29903,High,Homo sapiens,Japan,Asia,Japan,
EPI_ISL_414479,GenBank,"MT184907,EPI_ISL_414479",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_414480,GenBank,"MT184908,EPI_ISL_414480",Complete,29880,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_414481,GenBank,"MT184909,EPI_ISL_414481",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_414482,GenBank,"MT184910,EPI_ISL_414482",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_414483,GenBank,"MT184911,EPI_ISL_414483",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_414484,GenBank,"MT184912,EPI_ISL_414484",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_414485,GenBank,"MT184913,EPI_ISL_414485",Complete,29882,High,Homo sapiens,United States,North America,USA,Diamond Princess
EPI_ISL_414040,GISAID,"EPI_ISL_414040, ",Complete,29900,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414041,GISAID,"EPI_ISL_414041, ",Complete,29900,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414042,GISAID,"EPI_ISL_414042, ",Complete,29900,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414043,GISAID,"EPI_ISL_414043, ",Complete,29900,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414044,GISAID,"EPI_ISL_414044, ",Complete,29900,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414378,GISAID,"EPI_ISL_414378, ",Complete,29463,High,Homo sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_414379,GISAID,"EPI_ISL_414379, ",Complete,29462,High,Homo sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_414380,GISAID,"EPI_ISL_414380, ",Complete,29463,High,Homo sapiens,Singapore,Asia,Singapore,Singapore
EPI_ISL_414470,GISAID,"EPI_ISL_414470, ",Complete,29786,High,Homo sapiens,Netherlands / Zuid Holland,Europe,Netherlands,South Holland
EPI_ISL_414467,GISAID,"EPI_ISL_414467, ",Complete,29780,High,Homo sapiens,Netherlands / Zuid Holland,Europe,Netherlands,South Holland
EPI_ISL_414468,GISAID,"EPI_ISL_414468, ",Complete,29786,High,Homo sapiens,Netherlands / Zuid Holland,Europe,Netherlands,South Holland
EPI_ISL_414457,GISAID,"EPI_ISL_414457, ",Complete,29786,High,Homo sapiens,Netherlands / Noord Brabant,Europe,Netherlands,North Brabant
EPI_ISL_414452,GISAID,"EPI_ISL_414452, ",Complete,29783,High,Homo sapiens,Netherlands / Noord Brabant,Europe,Netherlands,North Brabant
EPI_ISL_414451,GISAID,"EPI_ISL_414451, ",Complete,29786,High,Homo sapiens,Netherlands / Noord Brabant,Europe,Netherlands,North Brabant
EPI_ISL_414446,GISAID,"EPI_ISL_414446, ",Complete,29786,High,Homo sapiens,Netherlands / Zuid Holland,Europe,Netherlands,South Holland
EPI_ISL_414445,GISAID,"EPI_ISL_414445, ",Complete,29786,High,Homo sapiens,Netherlands / Zuid Holland,Europe,Netherlands,South Holland
EPI_ISL_414443,GISAID,"EPI_ISL_414443, ",Complete,29786,High,Homo sapiens,Netherlands / Utrecht,Europe,Netherlands,Utrecht
EPI_ISL_414439,GISAID,"EPI_ISL_414439, ",Complete,29786,High,Homo sapiens,Netherlands / Utrecht,Europe,Netherlands,Utrecht
EPI_ISL_414435,GISAID,"EPI_ISL_414435, ",Complete,29786,High,Homo sapiens,Netherlands / Utrecht,Europe,Netherlands,Utrecht
EPI_ISL_414433,GISAID,"EPI_ISL_414433, ",Complete,29786,High,Homo sapiens,Netherlands / Noord Holland,Europe,Netherlands,North Holland
EPI_ISL_414429,GISAID,"EPI_ISL_414429, ",Complete,29786,High,Homo sapiens,Netherlands / Noord Brabant,Europe,Netherlands,North Brabant
EPI_ISL_414428,GISAID,"EPI_ISL_414428, ",Complete,29786,High,Homo sapiens,Netherlands / Noord Brabant,Europe,Netherlands,North Brabant
EPI_ISL_414423,GISAID,"EPI_ISL_414423, ",Complete,29786,High,Homo sapiens,Netherlands / Gelderland,Europe,Netherlands,Gelderland
EPI_ISL_414414,GISAID,"EPI_ISL_414414, ",Complete,29864,High,Homo sapiens,Australia / Queensland / Gold Coast,Oceania,Australia,Queensland
EPI_ISL_414476,GISAID,"EPI_ISL_414476, ",Complete,29903,High,Homo sapiens,United States / New York,Asia,Iran,Iran
EPI_ISL_414366,GISAID,"EPI_ISL_414366, ",Complete,29897,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_414363,GISAID,"EPI_ISL_414363, ",Complete,29903,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_414369,GISAID,"EPI_ISL_414369, ",Complete,29890,High,Homo sapiens,United States / Washington,North America,USA,
EPI_ISL_414368,GISAID,"EPI_ISL_414368, ",Complete,29890,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_414367,GISAID,"EPI_ISL_414367, ",Complete,29745,High,Homo sapiens,United States / Washington,North America,USA,Washington
EPI_ISL_414499,GISAID,"EPI_ISL_414499, ",Complete,29903,High,Homo sapiens,Germany / North Rhine Westphalia / Heinsberg District,Europe,Germany,North Rhine Westphalia
EPI_ISL_414497,GISAID,"EPI_ISL_414497, ",Complete,29903,High,Homo sapiens,Germany / North Rhine Westphalia / Heinsberg District,Europe,Germany,North Rhine Westphalia
EPI_ISL_414487,GISAID,"EPI_ISL_414487, ",Complete,29782,High,Homo sapiens,Ireland / Cork,Europe,Ireland,Cork
EPI_ISL_414500,GISAID,"EPI_ISL_414500, ",Complete,29782,High,Homo sapiens,United Kingdom / England / Yorkshire / Sheffield,Europe,United Kingdom,England
EPI_ISL_414590,GenBank,"MT188339,EPI_ISL_414590",Complete,29783,High,Homo sapiens,United States / MN,North America,USA,Grand Princess
EPI_ISL_414589,GenBank,"MT188340,EPI_ISL_414589",Complete,29845,High,Homo sapiens,United States / MN,North America,USA,Minnesota
EPI_ISL_414588,GenBank,"MT188341,EPI_ISL_414588",Complete,29835,High,Homo sapiens,United States / MN,North America,USA,Grand Princess
EPI_ISL_414517,GISAID,"EPI_ISL_414517, ",Complete,29764,High,Homo sapiens,China / Hong Kong,Asia,China,Hong Kong
EPI_ISL_414519,GISAID,"EPI_ISL_414519, ",Complete,29764,High,Homo sapiens,China / Hong Kong,Asia,China,Hong Kong
EPI_ISL_414522,GISAID,"EPI_ISL_414522, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414523,GISAID,"EPI_ISL_414523, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414524,GISAID,"EPI_ISL_414524, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414525,GISAID,"EPI_ISL_414525, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414526,GISAID,"EPI_ISL_414526, ",Complete,29903,High,Homo sapiens,United Kingdom / England,Europe,United Kingdom,England
EPI_ISL_414564,GISAID,"EPI_ISL_414564, ",Complete,29775,High,Homo sapiens,Netherlands / Zuid Holland,Europe,Netherlands,South Holland
EPI_ISL_414562,GISAID,"EPI_ISL_414562, ",Complete,29775,High,Homo sapiens,Netherlands / Zuid Holland,Europe,Netherlands,South Holland
EPI_ISL_414563,GISAID,"EPI_ISL_414563, ",Complete,29772,High,Homo sapiens,Netherlands / Zuid Holland,Europe,Netherlands,South Holland
EPI_ISL_414561,GISAID,"EPI_ISL_414561, ",Complete,29775,High,Homo sapiens,Netherlands / Zuid Holland,Europe,Netherlands,South Holland
EPI_ISL_414521,GISAID,"EPI_ISL_414521, ",Complete,29875,High,Homo sapiens,Germany / Munich,Europe,Germany,Bavaria
EPI_ISL_414559,GISAID,"EPI_ISL_414559, ",Complete,29775,High,Homo sapiens,Netherlands / Zuid Holland,Europe,Netherlands,South Holland
EPI_ISL_414558,GISAID,"EPI_ISL_414558, ",Complete,29775,High,Homo sapiens,Netherlands / Zuid Holland,Europe,Netherlands,South Holland
EPI_ISL_414557,GISAID,"EPI_ISL_414557, ",Complete,29775,High,Homo sapiens,Netherlands / Zuid Holland,Europe,Netherlands,South Holland
EPI_ISL_414520,GISAID,"EPI_ISL_414520, ",Complete,29874,High,Homo sapiens,Germany / Munich,Asia,China,Iran
